epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5491,0.76284,2.72104,1.17508,0.00448,0.98788,0.3858,0.33682,0.39123,3.02044,0.78178,0.00041441,0.00041441,0.00041441
2,100.924,0.77724,2.09201,1.16718,0.53536,0.5408,0.61616,0.46087,0.79288,2.183,1.12433,0.000834763,0.000834763,0.000834763
3,143.692,0.82026,1.55446,1.19253,0.62107,0.51614,0.47651,0.25672,1.02114,5.35114,1.61512,0.00124663,0.00124663,0.00124663
4,191.584,0.81757,1.268,1.14922,0.62632,0.4382,0.40944,0.27605,0.89198,3.93338,1.13476,0.00138656,0.00138656,0.00138656
5,236.37,0.76139,1.15182,1.11456,0.71406,0.80392,0.85442,0.68807,0.6944,1.5124,1.00352,0.00137241,0.00137241,0.00137241
6,279.445,0.76433,1.07055,1.10143,0.79627,0.77316,0.83349,0.65171,0.69607,1.37815,1.03069,0.00135826,0.00135826,0.00135826
7,324.998,0.68002,0.98383,1.06881,0.74734,0.74679,0.78768,0.61902,0.73553,1.73066,1.0503,0.00134412,0.00134412,0.00134412
8,368.921,0.64256,0.9137,1.06279,0.90729,0.93906,0.95001,0.82889,0.5278,0.88562,0.87102,0.00132997,0.00132997,0.00132997
9,411.48,0.69631,0.92834,1.0679,0.65964,0.65479,0.71889,0.60286,0.59714,2.08907,0.93879,0.00131582,0.00131582,0.00131582
10,453.189,0.69708,0.9309,1.07238,0.89779,0.85136,0.91249,0.80815,0.51023,0.99316,0.85127,0.00130168,0.00130168,0.00130168
11,499.443,0.64168,0.83047,1.05025,0.87949,0.91091,0.90336,0.78156,0.59831,0.91183,0.93704,0.00128753,0.00128753,0.00128753
12,541.26,0.59279,0.73492,1.03639,0.9346,0.90575,0.95647,0.82077,0.49697,0.78557,0.85195,0.00127338,0.00127338,0.00127338
13,581.686,0.65041,0.80581,1.05514,0.86892,0.89933,0.92982,0.83566,0.47292,0.75472,0.84035,0.00125923,0.00125923,0.00125923
14,622.327,0.64112,0.76373,1.04118,0.97086,0.8996,0.96154,0.86724,0.4828,0.6739,0.83823,0.00124509,0.00124509,0.00124509
15,662.647,0.60169,0.7213,1.02976,0.83875,0.94349,0.93591,0.83092,0.46152,0.8672,0.8512,0.00123094,0.00123094,0.00123094
16,702.945,0.56248,0.72159,1.01577,0.93582,0.92531,0.94973,0.87082,0.41023,0.62572,0.81627,0.00121679,0.00121679,0.00121679
17,743.332,0.59139,0.73463,1.03516,0.93975,0.92075,0.94851,0.85701,0.44359,0.61402,0.8302,0.00120265,0.00120265,0.00120265
18,783.868,0.59127,0.72828,1.02585,0.90484,0.90416,0.92801,0.7655,0.62552,0.77812,1.00514,0.0011885,0.0011885,0.0011885
19,826.931,0.57761,0.69679,1.02071,0.96645,0.94523,0.961,0.86407,0.42807,0.59734,0.80346,0.00117435,0.00117435,0.00117435
20,869.126,0.57648,0.67669,1.03246,0.92166,0.85371,0.9443,0.8773,0.41219,0.63212,0.80131,0.00116021,0.00116021,0.00116021
