epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5362,1.14587,3.17293,1.54196,0.00399,0.51493,0.12167,0.08079,0.83418,3.16016,1.43497,0.00017148,0.00017148,0.00017148
2,17.309,0.91772,2.61856,1.38209,0.00383,0.49362,0.12212,0.08201,1.03143,3.101,1.6163,0.000353713,0.000353713,0.000353713
3,24.4583,0.93728,2.30232,1.36561,0.00423,0.53593,0.13628,0.08034,1.08027,2.97967,1.65484,0.000532268,0.000532268,0.000532268
4,30.9166,0.92943,2.07629,1.35075,0.36468,0.26296,0.19437,0.13547,0.97911,2.35672,1.56757,0.000707145,0.000707145,0.000707145
5,38.0268,0.90704,1.92714,1.30985,0.25409,0.22128,0.17499,0.09047,1.62998,2.54215,2.1601,0.000878343,0.000878343,0.000878343
6,44.5935,0.9114,1.84551,1.31144,0.25281,0.23732,0.15919,0.08103,1.72723,2.72346,2.321,0.00104586,0.00104586,0.00104586
7,51.5149,0.89459,1.71364,1.3235,0.4668,0.35582,0.29315,0.1759,1.14339,2.49181,1.707,0.00120971,0.00120971,0.00120971
8,58.2589,0.9721,1.68915,1.33681,0.29125,0.3735,0.21941,0.12309,1.27973,2.63507,1.90285,0.00132997,0.00132997,0.00132997
9,64.8584,0.96208,1.65016,1.35532,0.33475,0.36085,0.30284,0.18341,1.13027,3.07409,1.75355,0.00131582,0.00131582,0.00131582
10,71.4863,1.00099,1.57643,1.34277,0.44179,0.39938,0.331,0.20319,1.18512,1.93349,1.69411,0.00130168,0.00130168,0.00130168
11,78.2032,0.95495,1.48427,1.33881,0.68427,0.35533,0.37027,0.25855,1.08318,1.90782,1.66993,0.00128753,0.00128753,0.00128753
12,85.0109,0.98114,1.50376,1.33268,0.32775,0.30505,0.21327,0.1105,1.56521,2.6899,2.11276,0.00127338,0.00127338,0.00127338
13,91.7936,1.00038,1.48204,1.37294,0.49468,0.36714,0.31007,0.20483,1.16262,2.27545,1.75463,0.00125923,0.00125923,0.00125923
14,98.8667,0.97484,1.39545,1.30327,0.40858,0.348,0.27223,0.14971,1.49555,2.24369,2.29311,0.00124509,0.00124509,0.00124509
15,105.361,0.93297,1.24685,1.26248,0.41552,0.3683,0.30406,0.18642,1.249,2.4472,1.8538,0.00123094,0.00123094,0.00123094
16,112.622,0.88424,1.31037,1.30979,0.45823,0.33971,0.28595,0.19407,1.0111,2.32421,1.53757,0.00121679,0.00121679,0.00121679
17,119.141,0.86446,1.25088,1.24784,0.64258,0.39262,0.36903,0.25156,1.08377,1.65731,1.64306,0.00120265,0.00120265,0.00120265
18,126.395,0.84381,1.15154,1.24756,0.68121,0.40958,0.3848,0.2679,1.01771,1.66996,1.55112,0.0011885,0.0011885,0.0011885
