epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2975,0.95774,2.71673,1.4012,0.00432,0.60323,0.17597,0.11083,1.23766,2.85009,2.00451,0.000462724,0.000462724,0.000462724
2,23.409,0.97339,2.12712,1.36632,0.3306,0.15336,0.18524,0.10095,1.25102,2.70912,1.80342,0.00092976,0.00092976,0.00092976
3,34.3952,0.89568,1.77092,1.33506,0.3018,0.19214,0.10795,0.04035,1.85753,4.29966,2.3656,0.00138737,0.00138737,0.00138737
4,44.4488,0.94437,1.69199,1.35735,0.50899,0.40911,0.34284,0.18856,1.37132,3.14959,1.99285,0.00138656,0.00138656,0.00138656
5,53.8453,0.95755,1.52705,1.34467,0.69179,0.46693,0.47207,0.33169,1.12885,1.79184,1.64407,0.00137241,0.00137241,0.00137241
6,64.4479,0.89218,1.41402,1.3167,0.61059,0.41032,0.37577,0.24659,1.31454,2.01231,1.79029,0.00135826,0.00135826,0.00135826
7,75.2925,0.93109,1.48962,1.31051,0.63402,0.46195,0.405,0.27146,1.26089,1.84765,1.74246,0.00134412,0.00134412,0.00134412
8,85.5148,0.90317,1.36618,1.30832,0.72062,0.49491,0.46311,0.30872,1.18565,1.60874,1.67197,0.00132997,0.00132997,0.00132997
9,94.895,0.87448,1.24251,1.27584,0.79916,0.49062,0.55498,0.40081,1.02528,1.35254,1.48729,0.00131582,0.00131582,0.00131582
10,105.405,0.85187,1.26731,1.27573,0.64437,0.3772,0.42503,0.25967,1.35698,1.7976,1.96069,0.00130168,0.00130168,0.00130168
11,115.553,0.79809,1.13426,1.25165,0.65207,0.25201,0.28947,0.17448,1.57793,2.5812,2.18616,0.00128753,0.00128753,0.00128753
12,126.089,0.82249,1.19911,1.24661,0.51705,0.50663,0.47982,0.32341,1.06757,1.76045,1.51627,0.00127338,0.00127338,0.00127338
13,136.003,0.8162,1.09911,1.22849,0.70011,0.53651,0.53944,0.40795,0.98968,1.34313,1.51097,0.00125923,0.00125923,0.00125923
14,145.514,0.75782,1.0624,1.20631,0.6344,0.51501,0.50454,0.35591,1.01002,1.24089,1.44038,0.00124509,0.00124509,0.00124509
15,155.907,0.76724,1.10564,1.22743,0.67145,0.40675,0.46343,0.34728,1.07159,1.8322,1.55054,0.00123094,0.00123094,0.00123094
16,166.081,0.76437,1.02898,1.21819,0.83388,0.51724,0.5795,0.42474,0.98517,1.24903,1.42104,0.00121679,0.00121679,0.00121679
17,175.415,0.72499,0.97421,1.19551,0.61103,0.38319,0.45926,0.35915,1.0467,1.71181,1.51334,0.00120265,0.00120265,0.00120265
18,185.357,0.76662,0.99792,1.21021,0.56091,0.45097,0.47209,0.35792,0.89842,1.85343,1.39016,0.0011885,0.0011885,0.0011885
19,195.899,0.7414,0.97653,1.19263,0.77402,0.52946,0.55097,0.41238,0.93616,1.26363,1.36161,0.00117435,0.00117435,0.00117435
20,208.459,0.70315,0.9399,1.17338,0.8759,0.49721,0.56064,0.46182,0.82944,1.21081,1.27494,0.00116021,0.00116021,0.00116021
21,219.354,0.68608,0.87791,1.17886,0.85234,0.52419,0.57208,0.43724,0.96083,1.26371,1.39291,0.00114606,0.00114606,0.00114606
22,229.568,0.73417,0.98449,1.17635,0.77446,0.55129,0.60926,0.46036,0.89744,1.04714,1.3224,0.00113191,0.00113191,0.00113191
23,239.051,0.70403,0.87836,1.15015,0.66337,0.53484,0.60577,0.47919,0.80537,1.14861,1.23046,0.00111776,0.00111776,0.00111776
24,249.589,0.6347,0.80437,1.13741,0.82158,0.5497,0.58403,0.45944,0.87299,1.15817,1.33327,0.00110362,0.00110362,0.00110362
25,260.046,0.72019,0.95404,1.17982,0.80916,0.50375,0.60366,0.4262,1.10308,1.2324,1.60194,0.00108947,0.00108947,0.00108947
26,270.18,0.66805,0.83696,1.1459,0.8222,0.55225,0.62238,0.44193,0.99617,1.01493,1.45845,0.00107532,0.00107532,0.00107532
27,279.587,0.70206,0.90519,1.15753,0.82244,0.48579,0.57772,0.47026,0.81088,1.04819,1.21656,0.00106118,0.00106118,0.00106118
28,289.58,0.67736,0.82071,1.1393,0.81897,0.54827,0.62711,0.50329,0.77193,0.98481,1.23468,0.00104703,0.00104703,0.00104703
29,300.145,0.72933,0.8646,1.15625,0.71589,0.59405,0.64771,0.50497,0.75264,0.95122,1.19231,0.00103288,0.00103288,0.00103288
30,311.194,0.64876,0.80143,1.14211,0.81817,0.53951,0.5915,0.48644,0.73614,1.01447,1.15262,0.00101873,0.00101873,0.00101873
31,321.763,0.68103,0.80478,1.13808,0.81291,0.54339,0.6043,0.48393,0.79523,0.99011,1.20822,0.00100459,0.00100459,0.00100459
32,331.479,0.61418,0.70258,1.12276,0.89412,0.5619,0.58649,0.47645,0.82452,1.1131,1.29082,0.00099044,0.00099044,0.00099044
33,341.237,0.64,0.75793,1.12742,0.83186,0.53666,0.62195,0.47945,0.85831,1.08214,1.33036,0.000976293,0.000976293,0.000976293
34,351.5,0.60938,0.72613,1.09695,0.69681,0.4845,0.56757,0.44691,0.88484,1.22712,1.34189,0.000962146,0.000962146,0.000962146
35,361.877,0.63201,0.76721,1.12699,0.84296,0.55993,0.62156,0.48676,0.86248,1.01731,1.30082,0.000947999,0.000947999,0.000947999
36,371.617,0.60201,0.70465,1.09661,0.89685,0.5792,0.64717,0.51882,0.77533,0.92939,1.20756,0.000933851,0.000933851,0.000933851
37,382.137,0.59641,0.71164,1.09369,0.83009,0.54134,0.58311,0.48166,0.76802,1.11632,1.16483,0.000919704,0.000919704,0.000919704
38,392.457,0.58941,0.72115,1.09684,0.77856,0.54956,0.59322,0.49813,0.73889,1.04853,1.17078,0.000905557,0.000905557,0.000905557
39,403.286,0.57177,0.70682,1.08737,0.80374,0.51945,0.57102,0.4809,0.71882,1.08697,1.14429,0.00089141,0.00089141,0.00089141
40,413.04,0.61469,0.71376,1.10877,0.88211,0.57056,0.64737,0.52154,0.74016,0.87759,1.15819,0.000877263,0.000877263,0.000877263
41,423.392,0.61395,0.72877,1.10494,0.81926,0.60555,0.66903,0.53723,0.73539,0.87827,1.15019,0.000863116,0.000863116,0.000863116
42,433.52,0.58283,0.6966,1.07317,0.90379,0.58596,0.62592,0.51462,0.72321,0.89396,1.14362,0.000848969,0.000848969,0.000848969
43,444.233,0.59766,0.70874,1.11312,0.89802,0.53095,0.601,0.47937,0.75944,1.08589,1.19334,0.000834822,0.000834822,0.000834822
44,454.677,0.61438,0.68752,1.10024,0.82713,0.55384,0.61267,0.49989,0.7773,0.92302,1.21504,0.000820675,0.000820675,0.000820675
45,464.126,0.61066,0.70927,1.10227,0.8784,0.53824,0.60057,0.49623,0.76138,0.99766,1.19022,0.000806528,0.000806528,0.000806528
46,473.843,0.60834,0.71289,1.08357,0.83858,0.60993,0.64582,0.53009,0.70571,0.85153,1.12577,0.00079238,0.00079238,0.00079238
47,484.697,0.5505,0.63655,1.06586,0.87478,0.59589,0.63823,0.53403,0.6542,0.88442,1.08153,0.000778233,0.000778233,0.000778233
48,494.998,0.56953,0.64882,1.09171,0.77063,0.59376,0.62656,0.51276,0.70542,0.98386,1.15734,0.000764086,0.000764086,0.000764086
